"Date","beef_commercial","veal_commercial","pork_commercial","lamb_commercial","total_red_commercial","beef_federal","veal_federal","pork_federal","lamb_federal","total_red_federal","broilers_federal","chicken_federal","turkey_federal","total_poultry_federal","total_meat_federal"
"Sep-2013","2073.8","8.6","1842.9","11.7","3937.0","2047.1","8.4","1830.1","10.8","3896.4","3108.0","44.7","440.6","3603.2","7499.6"
"Aug-2013","2241.2","9.0","1938.4","13.8","4202.4","2215.6","8.8","1924.1","12.8","4161.3","3296.2","50.3","485.0","3841.6","8002.9"
"Jul-2013","2294.1","9.6","1840.3","14.2","4158.2","2268.3","9.4","1827.1","13.1","4117.8","3278.9","47.1","514.5","3850.9","7968.7"
"Jun-2013","2157.0","8.4","1676.3","12.7","3854.5","2132.2","8.3","1665.1","12.0","3817.5","3002.0","42.9","473.4","3527.6","7345.1"
"May-2013","2227.6","9.1","1898.9","14.5","4150.0","2201.5","8.9","1887.8","13.4","4111.6","3270.1","46.2","508.0","3834.3","7945.9"
"Apr-2013","2128.6","9.1","1940.8","13.4","4091.9","2101.1","8.9","1928.9","12.5","4051.4","3194.1","45.5","504.6","3754.8","7806.2"
"Mar-2013","2039.8","9.2","1932.0","13.8","3994.9","2012.3","9.0","1920.4","13.1","3954.7","2999.2","38.0","472.7","3520.1","7474.8"
"Feb-2013","1873.4","9.0","1778.4","11.5","3672.4","1845.0","8.8","1766.7","10.9","3631.3","2877.6","39.2","461.7","3388.3","7019.6"
"Jan-2013","2261.3","10.5","2064.9","12.4","4349.0","2227.9","10.2","2052.1","11.7","4302.0","3267.1","46.6","524.6","3849.0","8151.0"
"Dec-2012","2020.1","9.8","1954.2","12.8","3997.0","1992.3","9.6","1940.5","11.9","3954.4","2853.7","36.3","441.5","3342.1","7296.5"
"Nov-2012","2207.5","10.1","2079.2","12.5","4309.2","2178.8","9.8","2065.1","11.6","4265.3","3008.5","37.7","515.3","3571.8","7837.1"
"Oct-2012","2344.8","10.3","2210.7","14.3","4580.1","2307.6","10.0","2194.9","13.3","4525.8","3335.5","43.8","579.9","3970.4","8496.2"
"Sep-2012","2015.5","8.8","1911.2","12.5","3948.1","1986.1","8.6","1896.9","11.8","3903.4","2927.1","43.7","453.1","3433.0","7336.4"
"Aug-2012","2368.6","10.1","1998.1","14.2","4391.1","2338.6","9.9","1983.0","13.4","4344.8","3317.5","51.0","530.1","3909.1","8253.9"
"Jul-2012","2201.4","9.5","1721.9","12.5","3945.2","2176.8","9.2","1708.7","11.8","3906.5","3127.0","43.4","497.2","3676.7","7583.2"
"Jun-2012","2250.7","8.9","1750.5","12.4","4022.5","2225.8","8.7","1738.5","11.8","3984.9","3105.3","49.2","506.6","3670.9","7655.8"
"May-2012","2231.9","10.4","1926.8","13.6","4182.7","2206.4","10.1","1913.9","12.9","4143.3","3281.8","47.7","519.9","3860.0","8003.3"
"Apr-2012","1990.6","9.9","1841.9","12.9","3855.2","1964.0","9.6","1829.2","12.2","3815.0","2993.8","41.6","478.0","3523.4","7338.4"
"Mar-2012","2159.5","10.0","1987.7","14.2","4171.4","2133.3","9.7","1975.1","13.6","4131.8","3043.8","40.1","502.1","3596.1","7727.9"
"Feb-2012","2008.9","9.8","1883.0","12.3","3914.1","1981.2","9.6","1870.1","11.8","3872.7","2953.6","38.8","466.8","3469.2","7341.9"
"Jan-2012","2113.1","10.4","1987.3","12.1","4123.0","2081.7","10.2","1974.1","11.6","4077.6","3091.8","43.2","476.7","3622.3","7699.9"
"Dec-2011","2126.3","10.8","2065.6","12.5","4215.1","2096.4","10.5","2052.6","11.8","4171.3","2857.5","41.4","458.9","3368.9","7540.2"
"Nov-2011","2148.8","10.8","2086.7","12.6","4258.9","2119.8","10.5","2073.6","11.8","4215.8","2907.1","39.8","511.4","3468.9","7684.7"
"Oct-2011","2215.1","10.6","2033.2","11.7","4270.6","2181.2","10.3","2018.8","11.0","4221.3","3096.8","43.4","524.5","3675.8","7897.1"
"Sep-2011","2215.2","10.7","1954.4","11.8","4192.1","2185.7","10.4","1939.2","11.1","4146.4","3180.4","47.0","473.2","3710.8","7857.2"
"Aug-2011","2386.9","11.4","1892.1","13.1","4303.4","2358.1","11.1","1876.2","12.3","4257.8","3330.3","49.9","501.3","3892.1","8149.9"
"Jul-2011","2134.1","10.1","1637.1","10.9","3792.3","2110.6","9.9","1625.3","10.2","3755.9","3030.9","46.2","448.1","3533.8","7289.7"
"Jun-2011","2375.0","11.2","1820.0","12.6","4218.8","2347.1","11.0","1807.1","11.8","4177.0","3284.6","49.3","519.3","3863.5","8040.5"
"May-2011","2131.9","10.3","1759.7","12.9","3914.8","2105.4","10.0","1747.3","12.3","3875.0","3251.1","42.9","496.4","3800.7","7675.7"
"Apr-2011","2052.5","10.2","1790.7","14.4","3867.8","2026.1","10.0","1778.6","13.7","3828.4","2973.5","40.3","455.6","3479.2","7307.6"
"Mar-2011","2266.2","12.1","2054.4","14.1","4346.7","2236.7","11.8","2040.1","13.6","4302.2","3310.4","44.1","503.1","3868.2","8170.4"
"Feb-2011","2020.4","10.5","1768.1","10.9","3810.0","1994.1","10.2","1756.1","10.5","3771.0","2852.4","37.4","435.6","3334.6","7105.6"
"Jan-2011","2122.9","10.8","1896.2","11.2","4041.1","2093.1","10.5","1884.2","10.7","3998.5","3127.5","39.8","463.0","3640.7","7639.2"
"Dec-2010","2270.9","11.7","2055.4","14.9","4352.9","2240.2","11.4","2041.1","14.0","4306.7","3175.0","44.1","461.4","3691.5","7998.2"
"Nov-2010","2235.5","11.3","2068.0","14.4","4329.3","2206.5","11.0","2055.0","13.5","4286.1","3124.4","40.3","520.5","3695.6","7981.7"
"Oct-2010","2234.9","11.4","2002.7","13.1","4262.1","2201.3","11.0","1988.8","12.3","4213.5","3183.7","41.0","524.3","3759.6","7973.1"
"Sep-2010","2252.2","11.3","1883.5","13.1","4160.0","2222.1","11.0","1867.8","12.1","4113.0","3238.3","45.6","467.1","3762.0","7875.0"
"Aug-2010","2286.6","11.2","1815.3","12.8","4126.0","2258.5","10.9","1800.9","11.9","4082.2","3200.0","47.5","481.1","3738.8","7821.0"
